genero,edad,peso,altura,objetivo,TMB,día,ejercicio,series,repeticiones,parte_musculo
Masculino,21,83.6,1.72,aumento de peso,1928.52,viernes,"['Remo archer', 'Flexiones pike', 'Dominadas comando']","[2, 2, 3]","[9, 15, 10]","['espalda', 'hombro', 'espalda']"
Femenino,18,52.2,1.62,aumento de peso,1363.12,viernes,"['Dominadas pronadas', 'Dominadas anchas', 'Muscle ups', 'Dominadas supinas']","[5, 4, 5, 5]","[17, 10, 17, 10]","['espalda', 'espalda', 'espalda', 'espalda']"
Masculino,38,66.0,1.69,perdida de peso,1556.8,sábado,"['Sentadillas', 'Sentadillas pistol', 'Flexiones explosivas', 'Flexiones normales']","[3, 4, 5, 4]","[24, 22, 17, 22]","['pierna', 'pierna', 'pecho', 'pecho']"
Femenino,23,70.8,1.67,perdida de peso,1527.18,miércoles,"['Zancadas', 'Plancha lateral', 'Flexiones pike', 'Handstand hold']","[3, 3, 5, 4]","[25, 23, 21, 22]","['pierna', 'hombro', 'hombro', 'hombro']"
Masculino,54,90.0,1.85,aumento de peso,1856.8,martes,"['Muscle ups', 'Dips en silla', 'Dominadas supinas']","[2, 2, 2]","[8, 9, 11]","['espalda', 'bicep_tricep', 'espalda']"
Femenino,43,68.5,1.65,aumento de peso,1407.5,viernes,"['Handstand push ups', 'Pull ups', 'Elevaciones laterales', 'Pike push ups']","[3, 4, 4, 5]","[16, 12, 18, 11]","['hombro', 'espalda', 'hombro', 'hombro']"
Masculino,26,65.3,1.89,perdida de peso,1728.81,jueves,"['Flexiones una mano asistidas', 'Dips en paralelas', 'Flexiones una mano asistidas', 'Flexiones explosivas']","[4, 3, 3, 3]","[25, 19, 18, 18]","['pecho', 'bicep_tricep', 'pecho', 'pecho']"
Femenino,44,45.4,1.62,perdida de peso,1175.64,martes,"['Chin ups', 'Flexiones tricep', 'Muscle ups']","[2, 4, 3]","[18, 12, 19]","['bicep_tricep', 'bicep_tricep', 'espalda']"
Masculino,51,65.9,1.66,aumento de peso,1452.03,viernes,"['Pike push ups', 'Remo invertido', 'Flexiones pino']","[3, 2, 3]","[14, 9, 12]","['hombro', 'espalda', 'hombro']"
Femenino,44,48.4,1.64,aumento de peso,1208.04,sábado,"['Dominadas anchas', 'Dominadas pronadas', 'Flexiones declinadas', 'Chin ups']","[4, 4, 3, 4]","[13, 10, 14, 14]","['espalda', 'espalda', 'pecho', 'espalda']"
Masculino,37,88.8,1.67,perdida de peso,1865.96,martes,"['Pull ups', 'Chin ups', 'Dominadas neutras']","[3, 3, 3]","[18, 13, 14]","['espalda', 'espalda', 'espalda']"
Femenino,50,48.8,1.74,perdida de peso,1201.68,martes,"['Dominadas comando', 'Dips en silla', 'Flexiones close grip']","[3, 3, 2]","[14, 14, 12]","['espalda', 'bicep_tricep', 'bicep_tricep']"
Masculino,23,62.6,1.78,aumento de peso,1657.22,lunes,"['Flexiones hindu', 'Pseudo planche', 'Handstand hold', 'Flexiones tricep']","[3, 5, 5, 5]","[10, 10, 18, 11]","['pecho', 'bicep_tricep', 'hombro', 'bicep_tricep']"
Femenino,34,47.2,1.73,aumento de peso,1259.72,lunes,"['Flexiones explosivas', 'Flexiones explosivas', 'Pseudo planche', 'Dominadas supinas']","[3, 3, 4, 3]","[12, 14, 12, 16]","['pecho', 'pecho', 'bicep_tricep', 'bicep_tricep']"
Masculino,42,70.0,1.77,perdida de peso,1624.4,sábado,"['Sentadillas sumo', 'Flexiones archer', 'Sentadillas sumo', 'Flexiones inclinadas']","[3, 4, 5, 5]","[17, 24, 15, 24]","['pierna', 'pecho', 'pierna', 'pecho']"
Femenino,25,62.5,1.58,perdida de peso,1421.9,lunes,"['Chin ups', 'Flexiones pino asistidas', 'Pseudo planche', 'Y raises']","[4, 3, 3, 3]","[18, 14, 20, 13]","['bicep_tricep', 'pecho', 'bicep_tricep', 'hombro']"
Masculino,54,70.0,1.88,aumento de peso,1597.8,lunes,"['Flexiones close grip', 'Flexiones normales', 'Dips en paralelas']","[3, 2, 3]","[10, 13, 13]","['bicep_tricep', 'pecho', 'pecho']"
Femenino,20,53.9,1.64,aumento de peso,1373.64,lunes,"['Flexiones una mano asistidas', 'Pseudo planche', 'Handstand hold', 'Flexiones pike']","[5, 4, 3, 4]","[16, 18, 16, 15]","['pecho', 'bicep_tricep', 'hombro', 'hombro']"
Masculino,18,89.1,1.9,perdida de peso,2114.27,sábado,"['Burpees', 'Remo con toalla', 'Zancadas salto', 'Sentadillas salto']","[5, 4, 5, 4]","[19, 28, 27, 27]","['pierna', 'espalda', 'pierna', 'pierna']"
Femenino,22,74.2,1.68,perdida de peso,1566.32,jueves,"['Handstand push ups', 'Chin ups', 'Flexiones normales', 'Flexiones wide grip']","[4, 4, 5, 3]","[21, 23, 15, 24]","['bicep_tricep', 'bicep_tricep', 'pecho', 'pecho']"
Masculino,53,87.2,1.77,aumento de peso,1785.24,jueves,"['Pike push ups', 'Flexiones archer', 'Flexiones pike']","[4, 3, 2]","[15, 11, 15]","['bicep_tricep', 'pecho', 'pecho']"
Femenino,49,56.2,1.68,aumento de peso,1266.62,martes,"['Handstand push ups', 'Dips en paralelas', 'Flexiones hindu']","[2, 4, 3]","[10, 10, 12]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Masculino,36,73.7,1.78,perdida de peso,1720.89,lunes,"['Handstand hold', 'Handstand hold', 'Flexiones diamante', 'Dips entre bancos']","[5, 3, 4, 4]","[17, 17, 13, 15]","['hombro', 'hombro', 'pecho', 'bicep_tricep']"
Femenino,26,71.4,1.7,perdida de peso,1524.24,jueves,"['Dips en paralelas', 'Flexiones declinadas', 'Flexiones pike', 'Flexiones pino asistidas']","[6, 6, 5, 6]","[22, 28, 26, 26]","['bicep_tricep', 'pecho', 'pecho', 'pecho']"
Masculino,32,70.0,1.83,aumento de peso,1722.4,viernes,"['Pike push ups', 'Shrugs calisténicos', 'Remo archer', 'Remo con toalla']","[3, 4, 4, 4]","[12, 10, 14, 18]","['hombro', 'hombro', 'espalda', 'espalda']"
Femenino,46,71.9,1.66,aumento de peso,1427.84,jueves,"['Chin ups', 'Flexiones tricep', 'Flexiones close grip']","[4, 4, 3]","[10, 15, 11]","['bicep_tricep', 'bicep_tricep', 'bicep_tricep']"
Masculino,26,90.2,1.88,perdida de peso,2064.94,sábado,"['Dominadas neutras', 'Sentadillas sumo', 'Zancadas laterales', 'Flexiones archer']","[5, 3, 5, 3]","[25, 20, 23, 16]","['espalda', 'pierna', 'pierna', 'pecho']"
Femenino,46,64.5,1.64,perdida de peso,1353.2,martes,"['Dominadas neutras', 'Chin ups', 'Remo invertido']","[2, 4, 2]","[19, 20, 12]","['espalda', 'bicep_tricep', 'espalda']"
Masculino,36,90.6,1.8,aumento de peso,1962.42,miércoles,"['Wall sit', 'Zancadas salto', 'Sentadillas salto', 'Flexiones pike']","[3, 4, 4, 4]","[12, 13, 13, 15]","['pierna', 'pierna', 'pierna', 'hombro']"
